ligand,affinity_kcal_mol
gamma_linolenic_acid,-8.125
neophytadiene,-8.115
methyl_3_cis_9_cis_12_cis_octadecatrienoate,-7.969
methyl_heneicosanoate,-7.838
cis_10_heptadecenoic_acid,-7.813
9_11_ooctadecadienoic_acid,-7.801
methyl_palmitoleate,-7.719
methyl_stearate,-7.565
methyl_palmitate,-7.477
methyl_18_fluorostearate,-7.384
palmitic_acid,-7.317
methyl_myristate,-7.308
tridecanoic_acid,-6.84
