time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.939,2.252
0.5,0.943,2.097
0.75,0.956,1.9
1.0,1.165,2.067
1.25,1.017,2.027
1.5,1.169,2.158
1.75,1.281,2.27
2.0,1.107,1.651
2.25,1.63,2.793
2.5,1.538,2.373
2.75,1.327,1.859
3.0,1.813,1.668
3.25,1.897,1.847
3.5,1.799,2.091
3.75,1.56,2.33
4.0,2.02,2.955
4.25,1.826,2.372
4.5,1.733,2.196
4.75,1.495,2.172
5.0,1.86,2.237
5.25,2.054,2.42
5.5,1.594,2.225
5.75,1.491,2.31
6.0,1.538,1.906
6.25,1.503,1.97
6.5,1.732,2.115
6.75,1.518,2.03
7.0,1.432,1.716
7.25,1.523,2.154
7.5,1.597,2.397
7.75,1.631,2.155
8.0,2.0,3.229
8.25,2.375,1.98
8.5,1.864,3.15
8.75,1.835,2.006
9.0,1.968,1.801
9.25,1.746,2.279
9.5,1.722,1.985
9.75,1.93,2.539
10.0,2.191,2.513
10.25,1.704,2.039
10.5,1.81,2.17
10.75,1.769,2.132
11.0,1.762,2.148
11.25,1.691,1.989
11.5,1.743,2.466
11.75,1.726,2.109
12.0,1.659,1.747
12.25,2.159,2.086
12.5,2.033,2.714
12.75,1.929,2.154
13.0,1.835,2.401
13.25,1.815,2.24
13.5,2.016,3.057
13.75,1.797,1.995
14.0,2.047,2.594
14.25,2.0,2.367
14.5,1.937,2.113
14.75,2.01,2.859
15.0,2.304,2.763
15.25,2.047,1.994
15.5,2.054,2.206
15.75,2.094,1.845
16.0,2.059,2.146
16.25,1.841,2.406
16.5,1.95,1.944
16.75,2.212,2.065
17.0,2.371,2.085
17.25,2.238,2.449
17.5,2.099,2.054
17.75,2.038,2.018
18.0,1.964,2.245
18.25,2.08,2.427
18.5,1.823,1.838
18.75,2.177,2.012
19.0,2.006,1.846
19.25,2.082,2.058
19.5,2.123,2.091
19.75,2.241,2.305
20.0,2.264,2.009
20.25,2.074,1.756
20.5,2.328,2.143
20.75,2.017,2.227
21.0,2.119,2.215
21.25,2.176,2.585
21.5,2.666,3.042
21.75,2.252,2.251
22.0,1.873,2.245
22.25,1.76,2.597
22.5,1.812,2.408
22.75,2.176,2.324
23.0,2.297,2.376
23.25,1.779,2.033
23.5,2.091,2.829
23.75,1.922,2.129
24.0,2.237,2.684
24.25,2.008,1.813
24.5,1.848,2.04
24.75,1.774,1.65
25.0,1.891,3.462
25.25,1.869,2.708
25.5,1.875,2.569
25.75,1.855,2.114
26.0,1.829,2.127
26.25,2.052,2.158
26.5,2.481,2.367
26.75,2.518,2.575
27.0,2.535,2.169
27.25,2.056,2.347
27.5,2.144,2.369
27.75,1.987,2.456
28.0,1.886,1.96
28.25,2.052,3.82
28.5,2.295,4.341
28.75,2.445,4.054
29.0,2.498,2.104
29.25,2.177,2.342
29.5,2.225,2.26
29.75,2.185,2.516
30.0,2.099,2.817
30.25,1.961,2.926
30.5,2.158,2.542
30.75,2.106,2.295
31.0,1.861,2.328
31.25,1.968,2.3
31.5,1.978,3.023
31.75,1.878,2.302
32.0,1.935,2.185
32.25,2.052,2.517
32.5,1.865,2.094
32.75,1.818,3.301
33.0,1.945,2.158
33.25,1.878,2.452
33.5,1.861,1.681
33.75,1.856,2.449
34.0,1.909,2.099
34.25,1.902,2.094
34.5,1.685,1.949
34.75,2.024,2.376
35.0,1.957,2.955
35.25,2.104,3.061
35.5,1.896,2.851
35.75,1.886,2.032
36.0,1.953,1.851
36.25,1.906,1.93
36.5,1.962,1.715
36.75,1.934,2.308
37.0,2.175,2.231
37.25,1.887,1.831
37.5,1.794,1.924
37.75,1.669,1.884
38.0,1.757,1.857
38.25,1.648,2.576
38.5,1.868,2.055
38.75,1.753,1.615
39.0,1.985,1.601
39.25,1.727,2.223
39.5,1.903,1.854
39.75,1.703,1.915
40.0,1.814,1.746
40.25,1.565,1.923
40.5,1.876,1.907
40.75,1.571,2.061
41.0,1.579,1.879
41.25,1.613,1.641
41.5,1.63,1.936
41.75,1.544,1.722
42.0,1.661,1.859
42.25,1.656,1.951
42.5,1.665,1.768
42.75,1.609,2.007
43.0,1.654,1.932
43.25,1.762,2.256
43.5,1.792,2.018
43.75,1.879,1.825
44.0,1.817,1.993
44.25,1.652,2.347
44.5,1.774,1.946
44.75,1.712,2.043
45.0,1.576,2.087
45.25,1.662,1.875
45.5,1.725,2.175
45.75,1.63,1.924
46.0,1.825,1.993
46.25,1.845,2.139
46.5,1.683,1.869
46.75,1.76,2.117
47.0,1.721,1.803
47.25,1.733,2.53
47.5,1.803,1.534
47.75,1.676,2.189
48.0,1.724,2.133
48.25,1.584,1.428
48.5,1.704,1.765
48.75,1.727,2.012
49.0,1.758,2.063
49.25,1.719,1.8
49.5,1.802,2.163
49.75,1.796,3.903
