ligand,affinity_kcal_mol
cis_5_8_11_14_17_eicosapentaenoic_acid,-8.778
methyl_cis_5_8_11_14_17_eicosapntaenoate,-8.482
methyl_4_7_10_13_hexadecatetraenoate,-8.464
gamma_linolenic_acid,-8.125
9_12_15_octadecatrienoic_acid,-7.91
cis_10_heptadecenoic_acid,-7.813
methyl_palmitoleate,-7.719
heptadecanoic_acid,-7.677
stearic_acid,-7.626
methyl_heptadecanoate,-7.572
methyl_stearate,-7.565
methyl_palmitate,-7.477
methyl_myristate,-7.308
methyl_pentadecanoate,-7.184
pentadecanal,-6.901
