time_ns,protein_bb_rmsd_A,ligand_rmsd_A
0.0,0.0,0.0
0.25,0.872,1.693
0.5,0.986,2.429
0.75,0.946,2.026
1.0,0.949,2.331
1.25,1.022,2.216
1.5,1.078,2.726
1.75,1.129,3.854
2.0,1.037,2.939
2.25,1.189,3.99
2.5,1.324,3.136
2.75,1.269,3.556
3.0,1.294,3.397
3.25,1.364,2.953
3.5,1.433,3.028
3.75,1.471,3.437
4.0,1.295,2.988
4.25,1.304,3.62
4.5,1.321,3.651
4.75,1.397,3.413
5.0,1.405,3.357
5.25,1.276,3.178
5.5,1.227,3.355
5.75,1.447,3.853
6.0,1.328,3.093
6.25,1.299,4.373
6.5,1.344,3.911
6.75,1.454,3.831
7.0,1.378,4.032
7.25,1.424,3.806
7.5,1.543,4.383
7.75,1.387,4.082
8.0,1.47,4.224
8.25,1.361,3.715
8.5,1.444,2.88
8.75,1.397,3.905
9.0,1.53,4.405
9.25,1.35,3.898
9.5,1.488,3.718
9.75,1.513,4.266
10.0,1.449,4.521
10.25,1.584,4.346
10.5,1.523,3.934
10.75,1.353,3.831
11.0,1.557,4.347
11.25,1.551,4.517
11.5,1.26,3.794
11.75,1.585,3.735
12.0,1.538,3.422
12.25,1.609,3.824
12.5,1.464,4.173
12.75,1.614,4.08
13.0,1.428,4.123
13.25,1.413,3.741
13.5,1.595,3.771
13.75,1.495,3.62
14.0,1.463,3.874
14.25,1.447,4.014
14.5,1.567,4.196
14.75,1.585,4.022
15.0,1.577,4.366
15.25,1.618,4.275
15.5,1.54,4.56
15.75,1.471,4.284
16.0,1.462,3.876
16.25,1.528,4.021
16.5,1.422,4.161
16.75,1.427,3.996
17.0,1.549,3.919
17.25,1.496,4.229
17.5,1.435,4.248
17.75,1.463,4.309
18.0,1.368,4.09
18.25,1.413,4.164
18.5,1.474,3.853
18.75,1.373,3.845
19.0,1.403,4.098
19.25,1.536,4.106
19.5,1.456,3.796
19.75,1.481,3.935
20.0,1.332,4.24
20.25,1.445,3.578
20.5,1.416,3.486
20.75,1.456,3.194
21.0,1.396,3.88
21.25,1.481,4.269
21.5,1.489,3.786
21.75,1.421,4.075
22.0,1.387,4.233
22.25,1.48,4.188
22.5,1.575,4.124
22.75,1.486,4.073
23.0,1.514,3.986
23.25,1.685,4.269
23.5,1.464,3.505
23.75,1.431,3.854
24.0,1.729,4.737
24.25,1.525,3.876
24.5,1.651,3.573
24.75,1.633,4.01
25.0,1.57,3.887
25.25,1.756,3.327
25.5,1.432,3.271
25.75,1.494,3.369
26.0,1.333,3.088
26.25,1.504,3.096
26.5,1.305,3.125
26.75,1.429,3.504
27.0,1.369,3.877
27.25,1.452,3.961
27.5,1.465,3.684
27.75,1.493,4.283
28.0,1.432,4.003
28.25,1.579,3.608
28.5,1.607,3.752
28.75,1.534,3.792
29.0,1.506,3.641
29.25,1.571,3.929
29.5,1.473,3.758
29.75,1.638,3.385
30.0,1.581,4.039
30.25,1.585,3.491
30.5,1.539,3.582
30.75,1.55,3.629
31.0,1.544,3.584
31.25,1.456,3.893
31.5,1.416,3.377
31.75,1.64,3.762
32.0,1.593,3.536
32.25,1.519,3.457
32.5,1.447,3.407
32.75,1.613,3.037
33.0,1.529,3.584
33.25,1.363,3.476
33.5,1.709,3.139
33.75,1.635,3.072
34.0,1.683,3.044
34.25,1.761,3.228
34.5,1.863,3.089
34.75,1.666,3.033
35.0,1.79,3.201
35.25,1.855,3.377
35.5,1.79,3.342
35.75,1.614,3.456
36.0,1.752,3.202
36.25,1.805,2.563
36.5,1.928,2.665
36.75,1.64,3.301
37.0,1.708,2.625
37.25,1.763,2.784
37.5,1.817,3.163
37.75,1.928,3.255
38.0,1.796,2.494
38.25,1.925,2.836
38.5,1.736,2.886
38.75,1.737,3.192
39.0,1.49,3.55
39.25,1.509,2.856
39.5,1.506,3.145
39.75,1.515,2.869
40.0,1.527,3.076
40.25,1.779,3.057
40.5,1.767,3.113
40.75,1.708,2.967
41.0,1.606,2.911
41.25,1.947,2.955
41.5,1.963,2.984
41.75,1.704,2.82
42.0,1.705,2.862
42.25,1.781,2.876
42.5,1.746,2.528
42.75,1.711,2.946
43.0,1.756,2.962
43.25,1.79,2.947
43.5,1.781,2.886
43.75,1.637,3.371
44.0,1.771,3.213
44.25,1.746,3.34
44.5,1.603,3.195
44.75,1.721,3.373
45.0,1.759,3.268
45.25,2.018,3.429
45.5,1.803,3.517
45.75,1.669,3.402
46.0,1.824,3.128
46.25,1.934,3.651
46.5,1.698,3.087
46.75,1.708,2.903
47.0,1.622,3.021
47.25,1.703,2.988
47.5,1.853,3.487
47.75,1.835,3.076
48.0,1.818,2.804
48.25,1.847,2.742
48.5,1.899,2.493
48.75,1.651,2.925
49.0,1.705,2.871
49.25,1.864,2.251
49.5,1.74,2.654
49.75,1.985,2.558
